id,user_id,objective_name,state,start_date,due_date
17014,602,Goal - 17014,running,2021-12-31,2022-12-31
17015,602,Goal - 17015,running,2021-12-31,2022-12-31
17016,602,Goal - 17016,completed,2021-12-31,2022-12-31
17021,602,Goal - 17021,completed,2021-12-31,2022-12-31
17022,602,Goal - 17022,running,2021-12-31,2023-12-31
17023,602,Goal - 17023,running,2021-12-31,2023-12-31
17024,602,Goal - 17024,running,2021-12-31,2023-12-31
15436,1050,Goal - 15436,running,2021-11-30,2021-12-31
15438,1050,Goal - 15438,running,2021-11-30,2021-12-31
15441,1050,Goal - 15441,running,2021-11-30,2021-12-31
15461,419,Goal - 15461,running,2021-11-30,2021-12-20
15461,528,Goal - 15461,running,2021-11-30,2021-12-20
15523,597,Goal - 15523,running,2021-11-30,2021-12-31
16061,664,Goal - 16061,running,2021-11-30,2021-12-31
17239,530,Goal - 17239,running,2021-11-30,2021-12-31
17248,530,Goal - 17248,running,2021-11-30,2021-12-31
17474,461,Goal - 17474,running,2021-11-30,2021-12-31
17474,780,Goal - 17474,running,2021-11-30,2021-12-31
17783,790,Goal - 17783,running,2021-11-30,2021-12-31
18068,699,Goal - 18068,running,2021-11-30,2021-12-31
18068,1167,Goal - 18068,running,2021-11-30,2021-12-31
16060,664,Goal - 16060,running,2021-10-31,2021-11-30
17238,530,Goal - 17238,running,2021-10-31,2021-11-30
17247,530,Goal - 17247,running,2021-10-31,2021-11-30
22489,1148,Goal - 22489,deleted,2021-10-29,2021-12-31
22506,1148,Goal - 22506,running,2021-10-29,2021-12-31
16350,419,Goal - 16350,running,2021-10-14,2021-12-31
5371,662,Goal - 5371,running,2021-09-30,2021-12-31
11384,489,Goal - 11384,deleted,2021-09-30,2021-12-31
12311,781,Goal - 12311,running,2021-09-30,2021-11-30
13252,459,Goal - 13252,running,2021-09-30,2021-12-31
13317,459,Goal - 13317,running,2021-09-30,2021-12-31
13318,459,Goal - 13318,running,2021-09-30,2021-12-31
13319,459,Goal - 13319,running,2021-09-30,2021-12-31
13570,741,Goal - 13570,deleted,2021-09-30,2021-12-31
14195,351,Goal - 14195,running,2021-09-30,2021-12-31
14195,359,Goal - 14195,running,2021-09-30,2021-12-31
14195,385,Goal - 14195,running,2021-09-30,2021-12-31
14900,351,Goal - 14900,running,2021-09-30,2021-12-31
14900,359,Goal - 14900,running,2021-09-30,2021-12-31
