id,user_id,survey_state,survey_question,answer_rating,review_answered_at
1,2,done,Q5,5,2021-04-08T07:07:12.365
2,2,done,Q2,2,2021-04-08T07:07:58.901
3,2,done,Q4,3,2021-04-28T05:17:13.806
4,2,done,Q1,3,2021-04-28T05:17:13.919
5,2,done,Q6,5,2021-04-28T05:17:14.044
6,2,done,Q3,2,2021-04-28T05:17:14.158
7,4,incomplete,Q1,1,2021-04-05T00:36:52.855
8,4,incomplete,Q6,1,2021-04-05T00:36:53.200
9,4,incomplete,Q3,1,2021-04-05T00:36:53.628
10,4,incomplete,Q4,4,2021-05-05T07:37:13.113
11,4,incomplete,Q2,,
12,4,incomplete,Q5,,
13,5,done,Q6,1,2021-04-12T03:02:00.911
14,5,done,Q3,1,2021-04-12T03:02:51.977
15,5,done,Q5,5,2021-04-12T03:04:31.882
16,5,done,Q2,4,2021-04-12T03:05:22.914
17,5,done,Q4,4,2021-04-28T05:16:05.900
18,5,done,Q1,5,2021-04-28T05:16:05.977
19,6,done,Q4,3,2021-04-26T02:01:49.404
20,6,done,Q3,4,2021-04-26T04:18:37.059
21,6,done,Q5,4,2021-04-26T04:22:48.011
22,6,done,Q2,5,2021-04-26T04:23:41.313
23,6,done,Q1,5,2021-04-28T05:27:58.299
24,6,done,Q6,5,2021-04-28T05:27:58.555
25,7,done,Q4,1,2021-04-11T14:35:31.607
26,7,done,Q1,1,2021-04-11T14:37:15.789
27,7,done,Q6,1,2021-04-11T14:38:14.239
28,7,done,Q3,1,2021-04-11T14:39:42.640
29,7,done,Q2,4,2021-04-11T14:48:31.887
30,7,done,Q5,3,2021-04-27T04:01:26.094
31,8,done,Q1,1,2021-04-09T00:57:59.977
32,8,done,Q6,1,2021-04-09T07:04:17.295
33,8,done,Q3,1,2021-04-09T08:03:38.001
34,8,done,Q5,4,2021-04-09T08:08:04.158
35,8,done,Q2,3,2021-04-09T08:09:01.742
36,8,done,Q4,3,2021-04-28T04:50:05.807
37,9,incomplete,Q4,1,2021-04-05T00:37:40.821
38,9,incomplete,Q1,1,2021-04-05T00:37:41.234
39,9,incomplete,Q6,1,2021-04-05T00:37:41.698
40,9,incomplete,Q3,1,2021-04-05T00:37:42.062
41,9,incomplete,Q2,,
42,9,incomplete,Q5,,
43,10,done,Q4,4,2021-04-15T09:12:56.756
44,10,done,Q1,1,2021-04-15T09:15:55.543
45,10,done,Q6,1,2021-04-15T09:16:32.651
46,10,done,Q3,1,2021-04-15T09:17:15.073
47,10,done,Q5,6,2021-04-15T09:19:17.348
48,10,done,Q2,5,2021-04-15T09:21:50.503
49,12,incomplete,Q4,1,2021-04-05T00:38:50.637
50,12,incomplete,Q1,1,2021-04-05T00:38:50.836
51,12,incomplete,Q6,1,2021-04-05T00:38:51.057
52,12,incomplete,Q3,1,2021-04-05T00:38:51.328
53,12,incomplete,Q2,,
54,12,incomplete,Q5,,
55,13,done,Q4,5,2021-04-30T02:50:12.665
56,13,done,Q1,1,2021-04-30T02:55:03.704
57,13,done,Q6,1,2021-04-30T02:56:10.172
58,13,done,Q3,1,2021-04-30T03:04:32.574
59,13,done,Q2,5,2021-05-03T08:42:04.836
60,13,done,Q5,5,2021-05-03T08:42:21.377
61,14,done,Q4,2,2021-05-10T00:29:21.980
62,14,done,Q1,1,2021-05-10T00:31:26.244
63,14,done,Q3,1,2021-05-10T00:32:22.870
64,14,done,Q5,4,2021-05-10T00:33:23.948
65,14,done,Q2,4,2021-05-10T00:34:34.673
66,14,done,Q6,1,2021-05-10T00:36:11.314
67,15,done,Q4,1,2021-04-14T08:43:29.218
68,15,done,Q1,1,2021-04-14T09:38:36.851
69,15,done,Q6,1,2021-04-14T09:41:47.383
70,15,done,Q3,1,2021-04-14T09:48:17.821
71,15,done,Q5,2,2021-04-14T09:54:50.326
72,15,done,Q2,2,2021-04-14T09:55:45.831
73,16,done,Q1,1,2021-04-12T04:08:30.559
74,16,done,Q6,1,2021-04-12T04:12:08.054
75,16,done,Q3,1,2021-04-12T04:13:39.059
76,16,done,Q5,5,2021-04-12T04:20:23.763
